e83,e18,e61,e13,e26,e51,e40,e64,e96,e50,e3,e32,e49,e5,e24,e98,e15,e48,
e91,e45,e44,e48,e46,e63,e37,e77,e87,e59,e50,e62,e75,,,,,,
e31,e61,e25,e62,e30,e74,e51,e71,e13,e38,e97,e3,,,,,,,
e100,e47,e16,e83,e81,e96,e44,e80,e23,e94,e77,e66,e54,e2,e32,e89,e79,e3,
e60,e11,e17,e76,e50,e67,e32,e57,e47,e56,e58,e92,e23,,,,,,
e67,e59,e20,e92,e7,e87,e79,e13,e4,e72,e49,,,,,,,,
e63,e70,e56,e5,e33,e98,e29,e65,e8,e68,e1,e61,e74,,,,,,
e17,e14,e45,e35,e11,e77,e100,e48,e95,e19,e21,e83,e50,e49,e68,e78,,,
e81,e80,e3,e10,e15,e86,e34,e53,e46,e37,,,,,,,,,
e94,e34,e85,e72,e41,e28,e86,e62,e76,e6,e39,e96,e16,,,,,,
e98,e72,e23,e12,e34,e45,e94,e33,e14,e35,e88,e18,e82,,,,,,
e73,e32,e18,e77,e27,e16,e24,e98,e51,e67,e47,e5,e70,e19,e78,,,,
e5,e4,e50,e96,e36,e48,e70,e90,e75,e58,,,,,,,,,
e70,e36,e92,e50,e100,e71,e3,e10,e11,e89,,,,,,,,,
e89,e31,e14,e74,e51,e83,e99,e55,e45,e41,e40,e77,e29,e10,,,,,
e64,e96,e10,e57,e48,e14,e54,e42,e33,e87,e89,,,,,,,,
e10,e86,e89,e20,e74,e65,e57,e27,e99,e76,e60,e90,e79,,,,,,
e75,e54,e7,e99,e31,e39,e67,e81,e27,e96,e42,e24,,,,,,,
e96,e38,e29,e81,e22,e68,e88,e3,e54,e53,e100,e76,e61,,,,,,
e97,e98,e57,e65,e58,e59,e89,e43,e100,e25,e19,e52,e51,,,,,,
e79,e65,e21,e52,e35,e82,e55,e31,e68,e45,,,,,,,,,
e7,e95,e74,e1,e84,e29,e81,e72,e56,e39,e70,e35,e76,e93,e14,e46,,,
e61,e89,e11,e69,e8,e58,e19,e56,e36,e81,e17,e82,,,,,,,
e14,e83,e30,e61,e90,e13,e97,e60,e73,e20,e22,e36,e34,,,,,,
e38,e91,e43,e44,e21,e37,e98,e86,e58,e69,e95,e89,,,,,,,
e1,e24,e46,e43,e72,e52,e6,e100,e67,e2,e30,e78,,,,,,,
e50,e10,e32,e34,e37,e100,e60,e76,e9,e18,,,,,,,,,
e52,e6,e99,e51,e63,e30,e17,e93,e16,e92,e29,e8,e80,e46,,,,,
e72,e94,e93,e16,e85,e81,e66,e9,e60,e64,e99,e74,,,,,,,
e33,e73,e94,e3,e47,e92,e35,e6,e65,e8,e10,e22,e68,e69,e51,,,,
e77,e3,e26,e73,e24,e20,e9,e28,e25,e66,e74,,,,,,,,
e32,e20,e36,e40,e57,e94,e18,e17,e2,e47,e51,e81,e67,e61,,,,,
e80,e33,e38,e86,e3,e89,e72,e74,e78,e100,e83,e75,e88,e82,,,,,
e6,e1,e88,e26,e43,e21,e78,e15,e86,e32,e80,e23,e85,e95,e2,e48,,,
e55,e53,e39,e41,,e31,e15,e67,e26,e49,e44,e70,e24,e33,,,,,
e45,e56,e27,e32,e68,e49,e21,e75,e19,e7,,,,,,,,,
e43,e35,e1,e21,e25,e75,e95,e14,e88,e51,e28,e4,e18,,,,,,
e57,e58,e47,e60,e86,e7,e87,e88,e31,e30,e90,e53,e8,e74,,,,,
e66,e55,e19,e47,e82,e70,e31,e68,e72,e77,,,,,,,,,
e51,e39,e67,e82,-1,e97,e69,e32,e94,e12,e63,e34,e10,,,,,,
e71,e41,e91,e94,e45,e54,e43,e84,e48,e85,e35,e31,,,,,,,
e2,e16,e66,e78,e19,e26,e49,e41,e57,e21,e93,,,,,,,,
e24,e12,,e23,e94,e41,e7,e21,e90,e57,e2,e67,e99,e78,,,,,
e42,e43,e37,e79,e54,e1,e77,e96,e28,e55,e52,e44,e93,e16,e27,e95,e46,,
e62,e75,e76,e8,e2,e43,e36,e23,e97,e73,e12,e10,e40,e98,,,,,
e22,e37,e69,e6,e28,e84,e83,e12,e71,e13,e64,,,,,,,,
e54,e42,e83,e97,e1,,e26,e69,e24,e82,e41,e12,e56,e55,e93,e33,,,
e34,e49,e5,e91,e73,e19,e25,e37,e3,e28,,,,,,,,,
e26,,e49,e85,e91,e27,e28,e89,e84,e16,e61,,,,,,,,
e11,-1,-1,e42,e64,e38,e8,e82,e55,e80,e87,e56,,,,,,,
e15,e85,e77,e98,e97,e11,e14,e52,e43,e27,e33,e84,,,,,,,
e16,e22,e62,e27,e78,e61,e1,e4,e63,e5,e73,e45,,,,,,,
e76,e99,e13,e36,e49,e93,e22,e26,e91,e29,e24,e20,e15,e34,e23,e70,e96,e58,e46
e9,e26,-1,e70,e60,e34,,e2,e85,e42,e20,e71,e63,e73,e61,,,,
e8,e66,e53,e2,e95,e99,e12,e5,e41,e71,,,,,,,,,
e39,e7,e82,e67,e79,e42,e90,e63,e40,e93,e4,e73,e32,,,,,,
,e50,e58,e46,e40,-1,e23,e35,e1,e54,e75,e59,e22,,,,,,
e85,e63,e73,e80,e14,e4,e16,e87,e30,e90,e96,e60,e5,e27,e79,,,,
e18,-1,e42,,-1,e12,e39,e36,e92,e61,e23,e57,e9,e1,e28,e72,e95,e46,
-1,e93,e98,e9,e96,e33,e80,e85,,e83,e38,e39,e87,e13,e82,,,,
e21,e88,e22,e95,e76,e53,e74,e40,e64,e65,e9,,,,,,,,
e28,e67,e95,e100,e42,e8,e27,e47,e77,e63,e76,e85,,,,,,,
e69,e100,e75,-1,e5,e78,e30,e49,e38,e46,e57,e9,e25,e39,e1,e13,e48,,
e41,-1,e68,e64,e23,e56,e48,e34,e10,e86,e54,,,,,,,,
-1,e79,e78,e39,e18,e6,e13,e92,e49,e3,e37,e48,,,,,,,
e88,e17,e51,e45,e69,-1,e63,e38,-1,e15,e48,e41,e3,e91,e6,e7,e33,,
e3,e87,e70,e58,e53,e9,-1,,e42,e52,e8,e79,,,,,,,
e40,e71,e12,e56,e17,-1,e62,e20,e79,e14,e55,,,,,,,,
e23,e40,e41,-1,e52,-1,e10,e51,e20,e99,e59,e88,,,,,,,
e65,e30,e84,e75,e39,e47,-1,-1,e61,e24,e91,e64,e81,e18,e46,e10,,,
-1,e15,e34,e37,e6,e46,-1,-1,e59,e31,e25,e33,e2,,,,,,
e29,e9,e35,e68,e71,e44,e41,e70,e22,e78,,,,,,,,,
e95,e84,e54,-1,e92,-1,e82,e30,-1,e97,e36,e49,e57,e85,,,,,
e47,e92,e71,e11,e32,e3,-1,e46,e62,e75,e27,,,,,,,,
e99,-1,e8,e59,e29,-1,e68,-1,e32,e40,e45,e37,e89,e26,e10,e3,,,
e93,e57,-1,e90,e83,e95,e59,e58,e53,e22,e94,e16,,,,,,,
e92,e77,e64,e15,e4,e36,e52,e22,e17,e43,e6,e65,e91,e88,e75,e82,,,
e58,-1,e59,e30,e61,e73,e45,-1,e15,e70,e13,e91,,,,,,,
-1,e90,e72,-1,-1,e50,e92,e91,e82,e4,e32,e98,e44,e23,,,,,
e78,e8,e28,e54,-1,e76,-1,e39,e50,e44,e92,e25,e33,,,,,,
e90,e2,e100,e55,e65,e35,e93,e50,e29,e1,,,,,,,,,
e68,e48,e24,e33,e12,e32,e65,e11,e81,,e86,e99,e39,,,,,,
e20,-1,e9,e84,e98,e72,e33,e66,e83,e10,e53,e55,,,,,,,
e59,e25,e52,e18,e67,e5,e71,e1,-1,-1,e26,e46,e12,,,,,,
-1,e69,e31,e88,e87,e79,e73,e97,e12,-1,e85,e40,,,,,,,
e35,e19,e55,-1,e13,e15,e5,e78,-1,e23,e71,e80,e98,e32,,,,,
e37,e78,e86,e89,-1,-1,e61,e45,e44,e48,e82,e68,,,,,,,
e87,e5,e40,e66,e89,e17,e75,e16,-1,e84,e31,,,,,,,,
e12,e64,-1,e38,e80,e57,e46,e29,e52,e17,e62,,,,,,,,
e46,-1,e65,e17,e56,e85,-1,e83,e74,e11,e78,e51,,,,,,,
e48,e52,-1,-1,e77,e10,e38,e94,e66,e95,e69,e14,,,,,,,
e74,e21,e97,-1,e93,e91,e4,-1,e70,-1,e43,e95,e60,e80,e33,e26,e3,,
e86,e76,-1,-1,e88,-1,e96,e79,-1,e36,e98,e15,e65,e44,e48,,,,
e25,e51,e6,e87,-1,e18,-1,e44,e39,e34,e56,e29,,,,,,,
e84,e97,e96,e71,e9,-1,e76,e59,e6,e88,e18,,,,,,,,
-1,e82,e90,e14,e62,e22,e50,e61,e5,e26,e68,e47,e59,e3,,,,,
e36,e23,e33,e19,e20,e40,e2,e99,e35,e60,,,,,,,,,
e44,-1,-1,e28,-1,e62,e53,e7,e69,e9,e81,e54,e78,e51,,,,,
-1,e60,e2,e7,e55,e88,e64,e73,-1,e91,e46,e50,e66,e83,e18,e75,e8,e95,e48
e56,e13,e4,e29,e70,e24,-1,-1,e18,e33,e79,e30,,,,,,,
e4,-1,-1,-1,e44,e23,e42,e54,e89,e62,e72,e19,e31,e79,e47,e77,e78,,
e82,e74,e81,e22,-1,e64,e91,-1,e34,e98,e7,e21,e46,e48,,,,,
e53,e27,e63,e31,e16,e69,e56,-1,e93,-1,e15,e17,e48,,,,,,
e30,e28,e60,e63,-1,e55,e47,-1,-1,-1,e34,e93,e92,e41,e98,,,,
e27,e81,e48,e49,e38,e66,e58,e25,e7,-1,e84,e2,,,,,,,
e19,e62,e79,e53,e99,e25,e84,e8,e80,-1,e5,,,,,,,,
e49,e46,-1,e93,e59,e2,-1,e95,e98,e79,e16,e100,e45,e68,e20,e40,e27,e82,
-1,e44,e15,e24,e66,e80,e85,e18,e37,-1,e11,e28,e69,,,,,,
e13,e68,e87,e25,e75,e90,e20,e19,-1,-1,e67,e7,e55,e14,e39,e43,e82,,
-1,e29,e80,e4,e10,e60,e11,e24,e21,e74,e14,,,,,,,,
